Event Date,Event Date,Shows,Artist,Revenue (USD),Tickets Sold,Capacity,%,Venue,City,Country,,,
10/25/2025,10/26/2025,2,Shakira,7167325,77875,77875,100%,Estadio Pascual Guerrero,Cali,Colombia,,,
10/25/2025,10/25/2025,1,Travis Scott,4994396,41593,48233,86.23%,Goyang Stadium,Goyang,South Korea,,,
10/24/2025,10/24/2025,1,Brandy & Monica,647636,7453,8167,91.26%,Bridgestone Arena,Nashville,United States,,,
10/24/2025,10/24/2025,1,Burna Boy,644871,6835,7726,88.47%,RAC Arena,Perth,Australia,,,
10/24/2025,10/24/2025,1,Gazo,513919,6738,9990,67.45%,LDLC Arena,Lyon,France,,,
10/24/2025,10/24/2025,1,GIMS,795145,13198,13198,100%,Centre Bell,Montreal,Canada,,,
10/24/2025,10/24/2025,1,Jelly Roll,967812,8406,8406,100%,Entertainment Centre,Brisbane,Australia,,,
10/24/2025,10/24/2025,1,Jon Batiste,339106,3755,4797,78.28%,Fox Theatre ,Detroit,United States,,,
10/24/2025,10/24/2025,1,MercyMe,158811,3770,6400,58.91%,Denny Sanford PREMIER Center,Sioux Falls,United States,,,
10/24/2025,10/24/2025,1,NBA YoungBoy,1633399,13498,13498,100%,Lenovo Center,Raleigh,United States,,,
10/24/2025,10/24/2025,1,Playboi Carti,647287,5737,12024,47.71%,T-Mobile Center,Kansas City,United States,,,
10/23/2025,10/23/2025,1,Billboard Latin Music Awards,126755,1890,1890,100%,James L. Knight Center,Miami,United States,,,
10/23/2025,10/25/2025,3,Billy Strings,1367963,21312,21627,98.54%,The Orion Amphitheater,Huntsville,United States,,,
10/23/2025,10/23/2025,1,Jack Antonoff,427088,2697,2697,100%,Beacon Theatre,New York,United States,,,
10/23/2025,10/23/2025,1,James Blunt,599185,7712,8533,90.38%,Entertainment Centre,Brisbane,Australia,,,
10/23/2025,10/23/2025,1,Katy Perry,1777751,15201,15201,100%,Lanxess Arena,Cologne,Germany,,,
10/23/2025,10/23/2025,1,MercyMe,157683,3916,8416,46.53%,Mizzou Arena,Columbia,United States,,,
10/22/2025,10/22/2025,1,All Time Low,252162,3502,3895,89.91%,YouTube Theater,Inglewood,United States,,,
10/22/2025,10/22/2025,1,Bob Dylan,736219,6028,7000,86.11%,Barclays Arena,Hamburg,Germany,,,
10/22/2025,10/22/2025,1,Halsey,262312,4925,4925,100%,Pabellón del Palacio de los Deportes,Mexico City,Mexico,,,
10/22/2025,10/22/2025,1,NBA YoungBoy,1374574,12337,12337,100%,Legacy Arena,Birmingham,United States,,,
10/21/2025,10/21/2025,1,Diana Ross,410373,2625,2625,100%,DPAC,Durham,United States,,,
10/21/2025,10/21/2025,1,Doechii,522635,6000,6000,100%,The Anthem,Washington,United States,,,
10/20/2025,10/20/2025,1,Burna Boy,556874,5473,6328,86.49%,Entertainment Centre,Brisbane,Australia,,,
10/20/2025,10/20/2025,1,Diana Krall,196195,2139,2139,100%,Teatro Degli Arcimboldi,Milan,Italy,,,
10/20/2025,10/20/2025,1,Doechii,539248,5240,5240,100%,The Theater,New York,United States,,,
10/19/2025,10/19/2025,1,Brandy & Monica,909609,6926,6926,100%,Gainbridge Fieldhouse,Indianapolis,United States,,,
10/19/2025,10/19/2025,1,Conan Gray,478077,5191,6348,81.77%,Auditorio Banamex,Monterrey,Mexico,,,
10/19/2025,10/20/2025,2,Lady Gaga,4262890,23755,23755,100%,Unipol Forum,Milan,Italy,,,
10/19/2025,10/19/2025,1,Doechii,520826,4983,4983,100%,MGM Music Hall,Boston,United States,,,
10/19/2025,10/19/2025,1,MercyMe,66705,2208,5302,41.64%,Tyson Events Center,Sioux City,United States,,,
10/19/2025,10/20/2025,2,NBA YoungBoy,4495108,27506,27506,100%,Smoothie King Center,New Orleans,United States,,,
10/18/2025,10/18/2025,1,A.R. Rahman,849620,6925,7318,94.63%,Utilita Arena,Birmingham,England,,,
10/18/2025,10/18/2025,1,Andreas Gabalier,651556,8236,10813,76.17%,ZAG Arena,Hannover,Germany,,,
10/18/2025,10/18/2025,1,Brandy & Monica,1850783,13334,13334,100%,United Center,Chicago,United States,,,
10/18/2025,10/18/2025,1,Burna Boy,1116628,10401,11298,92.06%,Qudos Bank Arena,Sydney,Australia,,,
10/18/2025,10/18/2025,1,MercyMe,104498,2756,4792,57.51%,The Sanford Center,Bemidji,United States,,,
10/18/2025,10/19/2025,2,Travis Scott,17207414,105341,105341,100%,Jawaharlal Nehru Stadium,Delhi,India,,,
10/17/2025,10/17/2025,1,A.R. Rahman,569021,5318,8031,66.22%,Co-op Live,Manchester,England,,,
10/17/2025,10/17/2025,1,Alejandro Fernández,299331,1733,1733,100%,Wagner Noël Performing Arts Center,Midland,United States,,,
10/17/2025,10/17/2025,1,Andreas Gabalier,716024,9904,10262,96.51%,QUARTERBACK Immobilien ARENA,Leipzig,Germany,,,
10/17/2025,10/17/2025,1,Brandy & Monica,948757,8392,8547,98.19%,Fiserv Forum,Milwaukee,United States,,,
10/17/2025,10/17/2025,1,Conan Gray,506443,5935,8128,73.02%,Auditorio Telmex,Guadalajara,Mexico,,,
10/17/2025,10/17/2025,1,David Guetta,1506787,19909,19909,100%,Coliseo MedPlus,Bogotá,Colombia,,,
10/17/2025,10/18/2025,2,Eros Ramazzotti ,3142350,24735,29722,100%,Ziggo Dome,Amsterdam,Netherlands,,,
10/17/2025,10/17/2025,1,Fantasia,921106,9902,11024,89.82%,State Farm Arena,Atlanta,United States,,,
10/17/2025,10/17/2025,1,Flo Rida,377993,3760,5472,68.71%,Avicii Arena ,Stockholm,Sweden,,,
10/17/2025,10/17/2025,1,MARINA,182184,2978,2978,100%,Fox Theater,Oakland,United States,,,
10/17/2025,10/17/2025,1,MercyMe,165286,3706,7341,50.48%,Resch Center,Green Bay,United States,,,
10/17/2025,10/18/2025,2,Morat,1713545,26302,28264,93.06%,Quinta Vergara Amphitheatre,Vina Del Mar,Chile,,,
10/17/2025,10/17/2025,1,Playboi Carti,1248750,10429,12103,86.17%,Mortgage Matchup Center,Phoenix,United States,,,
10/16/2025,10/16/2025,1,A.R. Rahman,1644835,12527,13891,90.18%,O2 Arena,London,England,,,
10/16/2025,10/16/2025,1,Brandy & Monica,1002040,8518,9684,87.96%,Heritage Bank Center,Cincinnati,United States,,,
10/16/2025,10/16/2025,1,Chris Brown,7003815,45474,45474,100%,Superdome,New Orleans,United States,,,
10/16/2025,10/16/2025,1,Conan Gray,1040497,11557,13312,86.82%,Palacio de los Deportes,Mexico City,Mexico,,,
10/16/2025,10/16/2025,1,MercyMe,83359,1844,5271,34.98%,Alliant Energy PowerHouse,Cedar Rapids,United States,,,
10/16/2025,10/16/2025,1,NBA YoungBoy,1511237,13395,13395,100%,Bridgestone Arena,Nashville,United States,,,
10/15/2025,10/15/2025,1,NBA YoungBoy,2059478,12058,12058,100%,State Farm Arena,Atlanta,United States,,,
10/14/2025,10/14/2025,1,Chris Brown,7222267,43373,43373,100%,Carter-Finley Stadium,Raleigh,United States,,,
10/14/2025,10/16/2025,3,Teddy Swims,3472828,43714,46953,93.10%,Qudos Bank Arena,Sydney,Australia,,,
10/13/2025,10/13/2025,1,Flo Rida,241752,4625,5866,78.84%,AFAS Live,Amsterdam,Netherlands,,,
10/13/2025,10/13/2025,1,NBA YoungBoy,1929197,13416,13416,100%,Kaseya Center,Miami,United States,,,
10/12/2025,10/12/2025,1,Andrea Bocelli,2219664,12626,14884,84.83%,First Horizon Coliseum,Greensboro,United States,,,
10/12/2025,10/12/2025,1,Brandon Lake,841899,13287,13287,100%,Schottenstein Center,Columbus,United States,,,
10/12/2025,10/15/2025,3,Lady Gaga,7282982,43528,43528,100%,Avicii Arena,Stockholm,Sweden,,,
10/11/2025,10/11/2025,1,All Time Low,110055,2239,2928,76.47%,Steelhouse,Omaha,United States,,,
10/11/2025,10/11/2025,1,Andreas Gabalier,1089734,9911,9911,100%,SAP Arena,Mannheim,Germany,,,
10/11/2025,10/11/2025,1,Brandon Lake,682375,10492,10492,100%,Van Andel Arena,Grand Rapids,United States,,,
10/11/2025,10/11/2025,1,Chris Brown,5261975,34379,34379,100%,Protective Stadium,Birmingham,United States,,,
10/11/2025,10/11/2025,1,Flo Rida,530574,7200,7500,96.01%,Mitsubishi Electric Halle,Düsseldorf,Germany,,,
10/11/2025,10/11/2025,1,Jon Batiste,233694,3060,3744,81.73%,The St. Augustine Amphitheatre,Saint Augustine,United States,,,
10/11/2025,10/11/2025,1,Morrissey,552920,5974,6500,91.91%,Greek Theatre,Berkeley,United States,,,
10/11/2025,10/11/2025,1,NBA YoungBoy,2102089,13487,13487,100%,Kia Center,Orlando,United States,,,
10/11/2025,10/11/2025,1,Travis Scott,3263995,62380,70761,88.16%,FNB Stadium,Johannesburg,South Africa,,,
10/10/2025,10/10/2025,1,Andreas Gabalier,608799,7925,10345,76.61%,Barclays Arena,Hamburg,Germany,,,
10/10/2025,10/10/2025,1,Brandon Lake,727798,12167,12167,100%,Fiserv Forum,Milwaukee,United States,,,
10/10/2025,10/12/2025,2,Busted / McFly,1474405,18105,26514,68.28%,Utilita Arena,Newcastle,England,,,
10/10/2025,10/10/2025,1,Eladio Carrión,420610,6106,10781,56.34%,Movistar Arena,Bogotá,Colombia,,,
10/10/2025,10/18/2025,6,Indochine,5091757,80574,80574,100%,LDLC Arena,Lyon,France,,,
10/10/2025,10/10/2025,1,Jon Batiste,256710,1912,2623,72.89%,Dr. Phillips Center,Orlando,United States,,,
10/10/2025,10/10/2025,1,Katy Perry,1238610,10995,11334,97.01%,Utilita Arena,Sheffield,England,,,
10/10/2025,10/11/2025,2,Mora,2869833,30080,30080,100%,Movistar Arena ,Madrid,Spain,,,
10/10/2025,10/10/2025,1,NBA YoungBoy,1491034,12390,12390,100%,VyStar Arena,Jacksonville,United States,,,
10/10/2025,10/10/2025,1,Playboi Carti,1150138,10653,11044,96.46%,Chase Center,San Francisco,United States,,,
10/09/2025,10/09/2025,1,Alex G,140550,2340,2980,78.52%,Kings Theatre,New York,United States,,,
10/09/2025,10/09/2025,1,Brandon Lake,668997,10016,11546,86.75%,Casey's Center,Des Moines,United States,,,
10/09/2025,10/09/2025,1,Bryan Adams,716502,11561,12973,89.12%,Centre Vidéotron,Quebec City,Canada,,,
10/09/2025,10/10/2025,2,Sombr,323443,7167,7167,100%,The Rooftop,New York,United States,,,
10/09/2025,10/09/2025,1,The Kooks,396192,6589,8150,80.85%,Utilita Arena,Newcastle,United States,,,
10/09/2025,10/09/2025,1,Zac Brown Band,763378,8354,8354,100%,Riverstage,Brisbane,Australia,,,
10/08/2025,10/08/2025,1,Alex G,316364,5749,5749,100%,Radio City Music Hall,New York,United States,,,
10/08/2025,10/08/2025,1,Bryan Adams,1029778,14269,14269,100%,Centre Bell,Montreal,Canada,,,
10/08/2025,10/08/2025,1,Jon Batiste,227360,1848,1848,100%,Ruth Eckerd Hall,Clearwater,United States,,,
10/08/2025,10/09/2025,2,NBA YoungBoy,3384859,24991,24991,100%,Colonial Life Arena,Columbia,United States,,,
10/08/2025,10/08/2025,1,Sting,1321475,14861,14861,100%,Lanxess Arena,Cologne,Germany,,,
10/07/2025,10/07/2025,1,Alex G,154430,3976,3976,100%,The Anthem,Washington,United States,,,
10/07/2025,10/07/2025,1,Haim,440836,6253,6500,96.20%,Bill Graham Civic Auditorium,San Francisco,United States,,,
10/07/2025,10/08/2025,2,Lady Gaga,6611714,31657,31657,100%,Co-op Live,Manchester,England,,,
10/07/2025,10/07/2025,1,Zac Brown Band,492598,5363,5363,100%,Hordern Pavilion,Sydney,Australia,,,
10/06/2025,10/06/2025,1,Breaking Benjamin,673076,8039,8039,100%,Toyota Arena,Ontario,United States,,,
10/06/2025,10/06/2025,1,Cascada,29475,655,655,100%,9:30 Club,Washington,United States,,,
10/06/2025,10/07/2025,2,Inhaler,91406,1740,1740,100%,Ulster Hall,Belfast,Northern Ireland,,,
10/06/2025,10/06/2025,1,Zac Brown Band,717481,7065,7065,100%,Margaret Court Arena,Melbourne,Australia,,,
10/05/2025,10/05/2025,1,Alex Warren,434475,7345,7557,97.19%,Addition Financial Arena,Orlando,United States,,,
10/05/2025,10/05/2025,1,Brandon Lake,811657,9305,9305,100%,Gas South Arena,Duluth,United States,,,
10/05/2025,10/09/2025,3,Chris Brown,20657373,121192,121192,100%,Nationals Park,Washington,United States,,,
10/05/2025,10/06/2025,2,Sigur Rós,505030,5103,5103,100%,Royal Carré Theatre,Amsterdam,Netherlands,,,
10/05/2025,10/05/2025,1,TobyMac,519013,8124,8124,100%,GIANT Center,Hershey,United States,,,
10/04/2025,10/04/2025,1,Alejandro Fernández,4598429,55480,57567,96.37%,Estadio GNP Seguros,Mexico City,Mexico,,,
10/04/2025,10/04/2025,1,Brandon Lake,726795,9220,9220,100%,Gas South Arena,Duluth,United States,,,
10/04/2025,10/04/2025,1,Chance The Rapper,198117,3272,4962,65.94%,MGM Music Hall,Boston,United States,,,
10/04/2025,10/04/2025,1,Eladio Carrión,243775,2576,4116,62.59%,Plaza Amador,Panama City,Panama,,,
