Event Date,Event Date,Shows,Artist,Revenue (USD),Tickets Sold,Capacity,%,Venue,City,Country,,,
05/10/2025,05/10/2025,1,André Rieu,1500325,11808,12133,97.32%,bp pulse LIVE,Birmingham,England,,,
05/10/2025,05/10/2025,1,BABYMETAL,327057,5374,8388,64.07%,Forest National,Brussels,Belgium,,,
05/10/2025,05/10/2025,1,Black Coffee,171140,2710,3000,90.33%,Echostage,Washington,United States,,,
05/10/2025,05/10/2025,1,Bryan Adams,699434,10053,12173,82.58%,First Direct Arena,Leeds,England,,,
05/10/2025,05/10/2025,1,Duki,42809,1094,4850,22.56%,Byline Bank Aragon Ballroom,Chicago,United States,,,
05/10/2025,05/11/2025,2,G-Dragon,11866718,96830,96830,100%,Tokyo Dome,Tokyo,Japan,,,
05/10/2025,05/10/2025,1,Gabriel Iglesias,291540,4083,4380,93.22%,Charleston Coliseum,Charleston,United States,,,
05/10/2025,05/10/2025,1,Halsey,541037,11103,11103,100%,Toyota Pavilion,Concord,United States,,,
05/10/2025,05/10/2025,1,J Balvin,990782,11541,11751,98.21%,SAP Center,San Jose,United States,,,
05/10/2025,05/11/2025,2,J-HOPE,4032337,25494,25494,100%,IMPACT Arena,Bangkok,Thailand,,,
05/10/2025,05/10/2025,1,Kaleo,589909,8887,8887,100%,Red Rocks Amphitheatre,Morrison,United States,,,
05/10/2025,05/10/2025,1,Katy Perry,1225791,11215,11874,94.45%,T-Mobile Center,Kansas City,United States,,,
05/10/2025,05/10/2025,1,Kelly Clarkson,1174399,4229,5000,84.58%,Hard Rock Live,Atlantic City,United States,,,
05/10/2025,05/10/2025,2,Nate Bargatze,1532475,18284,22538,81.13%,Peoria Civic Center,Peoria,United States,,,
05/10/2025,05/10/2025,1,Olly Murs,875687,11972,11972,100%,Utilita Arena,Sheffield,England,,,
05/10/2025,05/10/2025,1,Rema,259253,4071,4483,90.81%,Place Bell,Laval,Canada,,,
05/10/2025,05/10/2025,1,Roberto Carlos,1467286,15699,15699,100%,Arena CDMX,Mexico City,Mexico,,,
05/10/2025,05/10/2025,1,Rod Stewart,1036164,9402,9402,100%,Unipol Forum,Milan,Italy,,,
05/10/2025,05/10/2025,1,Rüfüs Du Sol,443315,10200,19273,52.92%,Veterans United Home Loans Amphitheater,Virginia Beach,United States,,,
05/10/2025,05/10/2025,1,Simple Plan,77505,1200,1250,96.00%,Liberty Hall,Sydney,Australia,,,
05/10/2025,05/11/2025,2,System Of A Down,11549899,100000,100000,100%,Allianz Parque,São Paulo,Brazil,,,
05/10/2025,05/10/2025,1,Teddy Swims,522887,5044,5044,100%,Daily's Place,Jacksonville,United States,,,
05/10/2025,05/10/2025,1,Tom Segura,156214,1328,1647,80.63%,Hard Rock Live,Bristol,United States,,,
05/10/2025,05/10/2025,1,UFC 315,5729172,15289,15289,100%,Centre Bell,Montreal,Canada,,,
05/09/2025,05/09/2025,1,Billie Eilish,1967510,16539,16539,100%,Uber Arena,Berlin,Germany,,,
05/09/2025,05/09/2025,1,Bryan Adams,690588,9651,11977,80.58%,AO Arena,Manchester,England,,,
05/09/2025,05/09/2025,1,Disturbed,822450,10191,10191,100%,Golden 1 Center,Sacramento,United States,,,
05/09/2025,05/09/2025,1,Gabriel Iglesias,412241,5290,5458,96.92%,PPG Paints Arena,Pittsburgh,United States,,,
05/09/2025,05/09/2025,1,Inhaler,131886,3232,7348,43.98%,Lotto Arena,Antwerp,Belgium,,,
05/09/2025,05/09/2025,1,Ivan Cornejo,1194511,11068,11068,100%,State Farm Arena,Atlanta,United States,,,
05/09/2025,05/09/2025,1,J Balvin,1394908,12174,13126,92.75%,Forum,Inglewood,United States,,,
05/09/2025,05/12/2025,4,Japanese Breakfast,555019,9345,12016,77.77%,Brooklyn Paramount,New York,United States,,,
05/09/2025,05/09/2025,1,Kelly Clarkson,1116274,4127,5000,82.54%,Hard Rock Live,Atlantic City,United States,,,
05/09/2025,05/09/2025,1,Kendrick Lamar & SZA,13635765,55147,55147,100%,MetLife Stadium,East Rutherford,United States,,,
05/09/2025,05/09/2025,1,Lil Wayne,377222,5403,8633,62.59%,Adventist Health Arena,Stockton,United States,,,
05/09/2025,05/10/2025,2,Paulo Londra,2129648,33899,34649,97.84%,Palacio de los Deportes,Mexico City,Mexico,,,
05/09/2025,05/09/2025,1,Post Malone,9524853,52702,52702,100%,AT&T Stadium,Arlington,United States,,,
05/09/2025,05/09/2025,1,Rels B,425754,10450,10450,100%,Centro de Espectáculos La Macarena,Medellin,Colombia,,,
05/09/2025,05/09/2025,1,Rüfüs Du Sol,614902,17573,19243,91.32%,Coastal Credit Union Music Park,Raleigh,United States,,,
05/09/2025,05/09/2025,1,SMTOWN LIVE 2025,2649277,23221,29009,80.05%,Estadio GNP Seguros,Mexico City,Mexico,,,
05/09/2025,05/09/2025,1,Tate McRae,1093583,13981,13981,100%,Palacio Vistalegre,Madrid,Spain,,,
05/09/2025,05/09/2025,1,Teddy Swims,587674,6745,6745,100%,Hard Rock Live,Hollywood,United States,,,
05/09/2025,05/09/2025,1,The Lumineers,432434,5616,8787,63.91%,Royal Arena,Copenhagen,Denmark,,,
05/09/2025,05/09/2025,1,The Weeknd,8709847,58209,58209,100%,State Farm Stadium,Glendale,United States,,,
05/09/2025,05/10/2025,2,Tiago PZK,657121,22429,22429,100%,Movistar Arena ,Buenos Aires,Argentina,,,
05/09/2025,05/11/2025,3,TOMORROW X TOGETHER,6665925,31365,31365,100%,Galaxy Arena,Macau,Macau,,,
05/09/2025,05/09/2025,1,Tony Hinchcliffe,371984,5129,6175,83.06%,Honda Center,Anaheim,United States,,,
05/09/2025,05/09/2025,1,Whindersson Nunes,155817,3462,5772,59.98%,MEO Arena,Lisbon,Portugal,,,
05/08/2025,05/09/2025,2,André Rieu,2196691,17239,21370,80.67%,Wembley Arena,London,England,,,
05/08/2025,05/08/2025,1,Bryan Adams,527552,7486,10903,68.66%,Utilita Arena,Newcastle,England,,,
05/08/2025,05/08/2025,1,Duki,51345,1000,2000,50.01%,Fillmore,Silver Spring,United States,,,
05/08/2025,05/08/2025,1,Emilia,766585,12041,14201,84.79%,Costa 21,San Miguel,Peru,,,
05/08/2025,05/08/2025,1,Ivan Cornejo,697172,6994,6994,100%,Kia Center,Orlando,United States,,,
05/08/2025,05/08/2025,1,J Balvin,693083,7727,7727,100%,Toyota Arena,Ontario,United States,,,
05/08/2025,05/08/2025,1,Kendrick Lamar & SZA,10479276,52319,52319,100%,MetLife Stadium,East Rutherford,United States,,,
05/08/2025,05/08/2025,1,Olly Murs,1101342,14152,14152,100%,Co-op Live,Manchester,England,,,
05/08/2025,05/08/2025,1,Roberto Carlos,509132,6156,6397,96.23%,Foro GNP Seguros ,Merida,Mexico,,,
05/08/2025,05/08/2025,1,Rod Stewart,1044968,9768,9768,100%,TAURON Arena,Kraków,Poland,,,
05/08/2025,05/08/2025,1,Rüfüs Du Sol,955711,15000,15000,100%,Merriweather Post Pavilion,Columbia,United States,,,
05/08/2025,05/08/2025,1,System Of A Down,5228844,60000,60000,100%,Estádio Olímpico,Rio de Janeiro,Brazil,,,
05/08/2025,05/08/2025,1,The Lumineers,322998,4710,8214,57.34%,Velodrom,Berlin,Germany,,,
05/08/2025,05/09/2025,2,Turnpike Troubadours,1604250,15627,17810,87.74%,Red Rocks Amphitheatre,Morrison,United States,,,
05/08/2025,05/10/2025,3,Zeds Dead,247014,6490,7071,91.78%,History,Toronto,Canada,,,
05/07/2025,05/07/2025,1,Bullet For My Valentine,212723,3500,3500,100%,The Rooftop,New York,United States,,,
05/07/2025,05/07/2025,1,Denzel Curry,40948,1016,2150,47.26%,Channel 24,Sacramento,United States,,,
05/07/2025,05/07/2025,1,Disturbed,820398,9396,9396,100%,Moda Center,Portland,United States,,,
05/07/2025,05/07/2025,1,Foreigner,418793,6690,7412,90.26%,Movistar Arena,Santiago,Chile,,,
05/07/2025,05/07/2025,1,Inhaler,64833,1634,2000,81.70%,E-Werk,Cologne,Germany,,,
05/07/2025,05/07/2025,1,Kevin Hart ,849006,7817,8189,95.46%,AO Arena,Manchester,England,,,
05/07/2025,05/07/2025,1,Metallica,9367628,66854,66854,100%,Lane Stadium,Blacksburg,United States,,,
05/07/2025,05/07/2025,1,Paulo Londra,612515,8463,8463,100%,Auditorio Telmex,Guadalajara,Mexico,,,
05/07/2025,05/07/2025,1,Post Malone,5741964,43347,43347,100%,Alamodome,San Antonio,United States,,,
05/07/2025,05/07/2025,1,Staind & Breaking Benjamin,720635,10842,12584,87.74%,Frost Bank Center,San Antonio,United States,,,
05/07/2025,05/07/2025,1,Tate McRae,910322,12650,13476,93.87%,MEO Arena,Lisbon,Portugal,,,
05/07/2025,05/08/2025,2,The Offspring,2189600,20413,22010,92.74%,Rod Laver Arena,Melbourne,Australia,,,
05/07/2025,05/07/2025,1,TobyMac,298788,6682,8670,77.07%,Red Rocks Amphitheatre,Morrison,United States,,,
05/06/2025,05/06/2025,1,BoA,30000,1200,1200,100%,9:30 Club,Washington,United States,,,
05/06/2025,05/06/2025,1,Denzel Curry,78496,1897,2348,80.79%,Fox Theater,Oakland,United States,,,
05/06/2025,05/06/2025,1,Duki,26655,1061,1950,54.41%,Fillmore,Charlotte,United States,,,
05/06/2025,05/06/2025,1,Inhaler,38246,963,1500,64.20%,Grosse Freiheit 36,Hamburg,Germany,,,
05/06/2025,05/07/2025,2,Le Sserafim,1656957,14161,15062,94.02%,International Exhibition Hall,Nagoya,Japan,,,
05/06/2025,05/06/2025,1,Rema,201880,3816,4639,82.26%,MGM Music Hall,Boston,United States,,,
05/06/2025,05/06/2025,1,Rüfüs Du Sol,478429,6617,6617,100%,Ascend Amphitheater,Nashville,United States,,,
05/06/2025,05/06/2025,1,System Of A Down,4324248,44000,44000,100%,Estádio Couto Pereira,Curitiba,Brazil,,,
05/06/2025,05/06/2025,1,The Lumineers,199722,3028,5100,59.37%,Rockhal,Esch Sur Alzette,Luxembourg,,,
05/05/2025,05/05/2025,1,Ado,1156558,11337,11337,100%,Qudos Bank Arena,Sydney,Australia,,,
05/05/2025,05/05/2025,1,Disturbed,1021342,11002,11002,100%,Climate Pledge Arena,Seattle,United States,,,
05/05/2025,05/05/2025,1,Foreigner,169982,2895,6505,44.50%,Movistar Arena,Bogotá,Colombia,,,
05/05/2025,05/05/2025,1,Kendrick Lamar & SZA,10433639,53196,53196,100%,Lincoln Financial Field,Philadelphia,United States,,,
05/05/2025,05/05/2025,1,Machine Head,57803,1485,1485,100%,Burton Cummings Theatre,Winnipeg,Canada,,,
05/05/2025,05/05/2025,1,Quevedo,183875,2341,2341,100%,Coca-Cola Music Hall,San Juan,Puerto Rico,,,
05/05/2025,05/06/2025,2,Royel Otis,22400,640,640,100%,Troubadour,West Hollywood,United States,,,
05/05/2025,05/05/2025,1,World Wrestling Entertainment,881850,10881,13136,82.83%,CHI Health Center,Omaha,United States,,,
05/04/2025,05/04/2025,1,Anastacia,109945,1340,1397,95.92%,Barbican,York,England,,,
05/04/2025,05/04/2025,1,Chase Atlantic,1066626,17926,17926,100%,O2 Arena,London,England,,,
05/04/2025,05/04/2025,1,Denzel Curry,71807,1458,1458,100%,McMenamins Crystal Ballroom,Portland,United States,,,
05/04/2025,05/04/2025,1,Empire Of The Sun,148613,2306,2306,100%,Channel 24,Sacramento,United States,,,
05/04/2025,05/04/2025,1,Gabriel Iglesias,228769,3707,4134,89.67%,Al Dana Amphitheatre,Sakhir,Bahrain,,,
05/04/2025,05/04/2025,1,Ivan Cornejo,763784,5960,5960,100%,Radio City Music Hall,New York,United States,,,
05/04/2025,05/04/2025,1,J Balvin,509111,6807,9162,74.30%,Pechanga Arena,San Diego,United States,,,
05/04/2025,05/04/2025,1,Judas Priest,1535437,18437,18437,100%,Arena CDMX,Mexico City,Mexico,,,
05/04/2025,05/04/2025,1,Kane Brown,689901,9111,9111,100%,Centre Bell,Montreal,Canada,,,
05/04/2025,05/04/2025,1,MercyMe,166770,3813,6123,62.27%,Bert Ogden Arena,Edinburg,United States,,,
05/04/2025,05/04/2025,1,Out 2 Lunch Festival,1452885,12978,15000,86.52%,Broadwater Parklands,Southport,Australia,,,
05/04/2025,05/04/2025,1,Rod Stewart,1016503,8839,8839,100%,ÖVB Arena,Bremen,Germany,,,
05/04/2025,05/04/2025,1,Rüfüs Du Sol,166000,1800,1800,100%,Club Space,Miami,United States,,,
05/04/2025,05/04/2025,1,The Millennium Tour,615881,6053,8859,68.33%,Wembley Arena,London,England,,,
05/04/2025,05/04/2025,1,The Offspring,895360,8363,8688,96.26%,Entertainment Centre,Adelaide,Australia,,,
05/04/2025,05/04/2025,1,"Tyler, The Creator",1614747,16405,16405,100%,Lanxess Arena,Cologne,Germany,,,
05/04/2025,05/04/2025,1,Zach Top,211281,4966,4966,100%,MGM Music Hall ,Boston,United States,,,
05/03/2025,05/03/2025,1,Afrojack,425649,9997,9997,100%,Club Hipico,Santiago,Chile,,,
05/03/2025,05/03/2025,1,Aidonia,1200769,10771,10771,100%,UBS Arena,New York,United States,,,
05/03/2025,05/03/2025,1,Bullet For My Valentine,490822,9710,10014,96.96%,Place Bell,Laval,Canada,,,
05/03/2025,05/03/2025,1,Cody Johnson,729735,11711,11989,97.68%,Credit One Stadium,Charleston,United States,,,
05/03/2025,05/03/2025,1,David Archuleta,12165,349,1000,34.90%,The Bellwether,Los Angeles,United States,,,
05/03/2025,05/03/2025,1,Duki,223592,3317,3958,83.80%,The Theater,New York,United States,,,
05/03/2025,05/03/2025,1,Empire Of The Sun,528881,8527,8527,100%,Greek Theatre,Berkeley,United States,,,
05/03/2025,05/07/2025,4,Erreway,4205787,51128,51128,100%,Costa 21,San Miguel,Peru,,,
05/03/2025,05/03/2025,1,Flo,117965,3013,3300,91.30%,The Salt Shed,Chicago,United States,,,
05/03/2025,05/03/2025,1,Ghost,995438,8385,13000,64.50%,Hallenstadion,Zürich,Switzerland,,,
05/03/2025,05/03/2025,1,Ha*Ash,163023,2241,2241,100%,Hard Rock Live,Wheatland,United States,,,
05/03/2025,05/03/2025,1,iHeartRadio Country Festival,1931490,10846,10846,100%,Moody Center,Austin,United States,,,
05/03/2025,05/03/2025,1,Inhaler,79043,1994,3410,58.48%,Columbiahalle,Berlin,Germany,,,
05/03/2025,05/03/2025,1,Ivan Cornejo,760959,5859,5859,100%,Radio City Music Hall,New York,United States,,,
05/03/2025,05/03/2025,1,J Balvin,568906,6225,10481,59.39%,Michelob ULTRA Arena,Las Vegas,United States,,,
05/03/2025,05/04/2025,2,J-HOPE,3690889,20104,20104,100%,Indonesia Arena,Jakarta,Indonesia,,,
05/03/2025,05/03/2025,1,Kane Brown,749470,6690,6690,100%,Mohegan Sun Arena,Uncasville,United States,,,
05/03/2025,05/03/2025,1,Kendrick Lamar & SZA,11003373,53364,53364,100%,Bank of America Stadium,Charlotte,United States,,,
05/03/2025,05/03/2025,1,Lil Wayne,597316,5516,6204,88.91%,Legacy Arena,Birmingham,United States,,,
05/03/2025,05/03/2025,1,MercyMe,269144,5946,6798,87.47%,Freeman Coliseum,San Antonio,United States,,,
05/03/2025,05/03/2025,1,Out 2 Lunch Festival,1674371,14844,15000,98.96%,Broadwater Parklands,Southport,Australia,,,
05/03/2025,05/03/2025,1,Pepe Aguilar,1008780,12179,14680,82.96%,Parque de la leyenda Vallenata,Valledupar,Colombia,,,
05/03/2025,05/03/2025,1,Post Malone,9310455,52890,52890,100%,Allegiant Stadium,Las Vegas,United States,,,
05/03/2025,05/04/2025,2,Rels B,1095949,15820,18084,87.48%,Coliseo General Rumiñahui,Quito,Ecuador,,,
05/03/2025,05/03/2025,1,Rema,793707,10595,12905,82.10%,Madison Square Garden,New York,United States,,,
05/03/2025,05/03/2025,1,Rod Stewart,1258305,8812,8812,100%,Westfalenhalle,Dortmund,Germany,,,
05/03/2025,05/03/2025,1,Rüfüs Du Sol,2993865,29847,29847,100%,FPL Solar Amphitheater,Miami,United States,,,
05/03/2025,05/03/2025,1,System Of A Down,7399293,42000,42000,100%,Estadio José Amalfitani,Buenos Aires,Argentina,,,
05/03/2025,05/03/2025,1,The Lumineers,499727,9297,9852,94.37%,Movistar Arena,Madrid,Spain,,,
05/03/2025,05/03/2025,1,Zeds Dead,549540,7000,7000,100%,Rawhide Event Center,Chandler,United States,,,
05/02/2025,05/03/2025,2,Alok,43955,1263,1500,84.20%,Punch L!ne,Berlin,Germany,,,
05/02/2025,05/02/2025,1,Billie Eilish,1702077,14692,14692,100%,ZAG-Arena,Hanover,Germany,,,
05/02/2025,05/02/2025,1,Cody Johnson,982276,18693,18866,99.08%,PNC Music Pavilion,Charlotte,United States,,,
05/02/2025,05/02/2025,1,Ed Sheeran,1182252,9895,10091,98.06%,Al-Dana Amphitheatre,Sakhir,Bahrain,,,
05/02/2025,05/02/2025,1,Inhaler,55111,1392,1392,100%,Theaterfabrik,Munich,Germany,,,
05/02/2025,05/03/2025,2,Kane Brown,1453448,13221,13221,100%,Mohegan Sun Arena,Uncasville,United States,,,
05/02/2025,05/02/2025,1,Kygo,565625,5728,6745,84.92%,Hard Rock Live,Hollywood,United States,,,
05/02/2025,05/02/2025,1,Kylie Minogue,1654074,12229,12229,100%,Crypto.com Arena,Los Angeles,United States,,,
05/02/2025,05/02/2025,1,Maxwell,141519,1745,7841,22.25%,Peoria Civic Center,Peoria,United States,,,
05/02/2025,05/02/2025,1,MercyMe,243149,5637,5784,97.46%,United Supermarkets Arena,Lubbock,United States,,,
05/02/2025,05/02/2025,1,Rels B,588700,10867,16000,67.92%,Costa 21,San Miguel,Peru,,,
05/02/2025,05/02/2025,1,Rusko,11310,586,800,73.25%,The Intersection,Grand Rapids,United States,,,
05/02/2025,05/02/2025,1,Silvestre,1217436,13566,14680,92.41%,Parque de la Leyenda Vallenata,Valledupar,Colombia,,,
05/02/2025,05/02/2025,1,The Lumineers,480491,9115,11014,82.76%,MEO Arena,Lisbon,Portugal,,,
05/02/2025,05/02/2025,1,Trivium / Bullet For My Valentine,246363,4670,4999,93.42%,MGM Music Hall,Boston,United States,,,
05/02/2025,05/02/2025,1,"Tyler, The Creator",1090255,12309,12309,100%,Festhalle,Frankfurt,Germany,,,
05/01/2025,05/02/2025,2,Andrea Bocelli,5097407,28194,32944,85.58%,O2 Arena,London,England,,,
05/01/2025,05/01/2025,1,Duki,66187,1025,2425,42.27%,House of Blues,Boston,United States,,,
05/01/2025,05/01/2025,1,J Balvin,784124,9237,10315,89.55%,PHX Arena,Phoenix,United States,,,
05/01/2025,05/02/2025,2,Jim Gaffigan,370022,4071,4230,96.24%,Peace Concert Hall,Greenville,United States,,,
05/01/2025,05/01/2025,1,MercyMe,437914,9037,10371,87.14%,Dickies Arena,Fort Worth,United States,,,
05/01/2025,05/03/2025,2,Metallica,9081578,81398,95190,85.51%,Nissan Stadium,Nashville,United States,,,
05/01/2025,05/01/2025,1,Pitbull,1194898,6745,6745,100%,Hard Rock Live,Hollywood,United States,,,
05/01/2025,05/01/2025,1,Pixies,206126,3703,3703,100%,Tempodrom,Berlin,Germany,,,
05/01/2025,05/01/2025,1,Rüfüs Du Sol,1096299,17744,17744,100%,MidFlorida Credit Union Amphitheatre,Tampa,United States,,,
05/01/2025,05/01/2025,1,"Tyler, The Creator",2119262,14613,14613,100%,Hallenstadion,Zürich,Switzerland,,,
04/30/2025,05/04/2025,4,Charli XCX,8702864,58969,58969,100%,Barclays Center,New York,United States,,,
04/30/2025,04/30/2025,1,Chase Atlantic,681527,9584,14235,67.33%,OVO Hydro,Glasgow,Scotland,,,
04/30/2025,04/30/2025,1,Duki,50675,816,970,84.12%,Theatre Of Living Arts,Philadelphia,United States,,,
04/30/2025,04/30/2025,1,Ed Sheeran,969783,9774,11380,85.89%,Multipurpose Hall,Doha,Qatar,,,
04/30/2025,04/30/2025,1,Foreigner,229544,3770,8181,46.08%,Auditorio Telmex,Guadalajara,Mexico,,,
04/30/2025,04/30/2025,1,Incubus,630702,8406,8658,97.09%,Lanxess Arena,Cologne,Germany,,,
04/30/2025,04/30/2025,1,Monsters Of Rock,1113429,11564,12436,92.99%,Coliseo MedPlus,Bogotá,Colombia,,,
04/30/2025,04/30/2025,1,Rauw Alejandro,1884792,8697,8697,100%,Viejas Arena,San Diego,United States,,,
04/30/2025,04/30/2025,1,Rels B,570750,11077,16522,67.04%,Movistar Arena,Santiago,Chile,,,
04/30/2025,04/30/2025,1,Rüfüs Du Sol,896651,17070,18644,91.56%,Cellairis Amphitheatre,Atlanta,United States,,,
04/30/2025,04/30/2025,1,System Of A Down,6840830,70000,70000,100%,Estadio Nacional,Santiago,Chile,,,
04/30/2025,04/30/2025,1,The Offspring,548695,3906,8000,48.83%,GLION Arena,Kobe,Japan,,,
04/30/2025,04/30/2025,1,Tina Knowles,217830,2900,2900,100%,The Theater,Oxon Hill,United States,,,
04/30/2025,04/30/2025,1,"Tyler, The Creator",1145510,11909,11909,100%,Unipol Forum,Milan,Italy,,,
04/30/2025,04/30/2025,1,Wilco,147450,2497,3955,63.14%,The St. Augustine Amphitheatre,Saint Augustine,United States,,,
04/29/2025,04/30/2025,2,Arcade Fire,310742,4115,4276,96.23%,L'Olympia,Montreal,Canada,,,
04/29/2025,04/29/2025,1,Ghost,531824,7006,11494,60.95%,MEO Arena,Lisbon,Portugal,,,
04/29/2025,04/30/2025,2,Hans Zimmer,1615456,22248,22554,98.64%,Rod Laver Arena,Melbourne,Australia,,,
04/29/2025,04/29/2025,1,Ivan Cornejo,546250,6238,6988,89.27%,UW-Milwaukee Panther Arena,Milwaukee,United States,,,
04/29/2025,04/29/2025,1,Kendrick Lamar & SZA,11605370,51157,51157,100%,Mercedes-Benz Stadium,Atlanta,United States,,,
04/29/2025,04/29/2025,1,Post Malone,6204677,40551,40551,100%,Rice–Eccles Stadium,Salt Lake City,United States,,,
04/29/2025,04/30/2025,2,TOMORROW X TOGETHER,3015285,26250,26250,100%,Messe,Fukuoka,Japan,,,
04/28/2025,05/09/2025,5,Beyoncé,55706053,217143,217143,100%,SoFi Stadium,Inglewood,United States,,,
04/28/2025,04/28/2025,1,Charli XCX,1983086,13679,13679,100%,Allstate Arena,Rosemont,United States,,,
04/28/2025,04/28/2025,1,Chase Atlantic,340830,6000,6000,100%,AFAS Live,Amsterdam,Netherlands,,,
04/28/2025,04/28/2025,1,Disturbed,532999,5915,5915,100%,Paycom Center ,Oklahoma City,United States,,,
04/28/2025,04/28/2025,1,Empire Of The Sun,616333,8915,8915,100%,Red Rocks Amphitheatre,Morrison,United States,,,
04/28/2025,04/28/2025,1,Flo,62496,1858,2425,76.62%,House of Blues,Boston,United States,,,
04/28/2025,04/28/2025,1,Foreigner,495679,15366,15366,100%,Arena CDMX,Mexico City,Mexico,,,
04/28/2025,04/28/2025,1,Inhaler,39636,876,1700,51.53%,X-TRA,Zurich,Switzerland,,,
04/28/2025,04/29/2025,2,Katy Perry,2848598,20393,20393,100%,Arena Monterrey,Monterrey,Mexico,,,
04/28/2025,04/29/2025,2,Nick Cave & The Bad Seeds,491506,5578,6600,84.52%,The Salt Shed,Chicago,United States,,,
04/28/2025,04/29/2025,2,The Flaming Lips,238449,3322,3322,100%,3Olympia,Dublin,Ireland,,,
04/27/2025,04/27/2025,1,Behemoth,205124,3371,4600,73.28%,O2 Universum,Prague,Czech Republic,,,
04/27/2025,04/27/2025,1,Central Cee,418905,5482,14235,38.51%,OVO Hydro,Glasgow,Scotland,,,
04/27/2025,04/27/2025,1,Duki,81842,1324,3401,38.93%,Palladium,Hollywood,United States,,,
04/27/2025,04/27/2025,1,Ghost,437526,5675,6899,82.26%,Zenith,Toulouse,France,,,
04/27/2025,04/27/2025,1,Hombres G,947993,13092,19958,65.60%,Estadio 3 de Marzo,Guadalajara,Mexico,,,
04/27/2025,04/27/2025,1,Ivan Cornejo,1238082,12657,12657,100%,United Center,Chicago,United States,,,
04/27/2025,04/27/2025,1,MercyMe,167211,3952,6589,59.98%,Simmons Bank Arena,North Little Rock,United States,,,
04/27/2025,04/27/2025,1,Paulo Londra,1510067,13990,13990,100%,Movistar Arena,Madrid,Spain,,,
04/27/2025,04/27/2025,1,Remi Wolf,285900,6000,6000,100%,The Anthem,Washington,United States,,,
04/27/2025,04/27/2025,1,Rod Stewart,918289,7735,7735,100%,Spektrum,Oslo,Norway,,,
04/27/2025,04/27/2025,1,Rüfüs Du Sol,393585,8353,10620,78.65%,Walmart AMP,Rogers,United States,,,
04/27/2025,04/27/2025,1,Sugababes,209849,3322,4000,83.05%,Uber Eats Music Hall,Berlin,Germany,,,
04/27/2025,04/27/2025,1,System Of A Down,5097867,48000,48000,100%,Estadio Nacional,Lima,Peru,,,
04/27/2025,04/27/2025,1,The Lumineers,586472,9952,10539,94.43%,Unipol Forum,Milan,Italy,,,
04/27/2025,04/27/2025,1,The Millennium Tour,973476,8277,8277,100%,Forum,Inglewood,United States,,,
04/27/2025,04/27/2025,1,The Offspring,716144,5146,7000,73.51%,Tokyo Garden Theater,Tokyo,Japan,,,
04/27/2025,04/28/2025,2,"Tyler, The Creator",2985833,31629,31629,100%,Accor Arena,Paris,France,,,
04/27/2025,04/27/2025,1,Zac Brown Band,1089852,6837,6837,100%,Mohegan Sun Arena,Uncasville,United States,,,
04/26/2025,04/26/2025,1,Alan Jackson,3339728,15396,15396,100%,Amalie Arena,Tampa,United States,,,
04/26/2025,04/26/2025,1,Charli XCX,2006443,13914,13914,100%,Target Center,Minneapolis,United States,,,
04/26/2025,04/26/2025,1,Chase Atlantic,489977,8338,8338,100%,Forest National,Brussels,Belgium,,,
04/26/2025,04/26/2025,1,Disturbed,1119104,9684,9684,100%,Dickies Arena,Fort Worth,United States,,,
04/26/2025,04/26/2025,1,Duki,59712,1094,2300,47.57%,SOMA,San Diego,United States,,,
04/26/2025,04/26/2025,1,Erreway,1208189,12508,14720,84.97%,Coliseo Voltaire Paladine Polo,Guayaquil,Ecuador,,,
04/26/2025,04/26/2025,1,Ghost,846913,10676,12577,84.89%,LDLC Arena,Lyon,France,,,
04/26/2025,04/26/2025,1,Ha*Ash,188971,2603,2603,100%,Moda Center,Portland,United States,,,
04/26/2025,04/27/2025,2,Hans Zimmer,2655380,22749,22749,100%,Qudos Bank Arena,Sydney,Australia,,,
04/26/2025,04/26/2025,1,Ivan Cornejo,1339452,12603,12603,100%,United Center,Chicago,United States,,,
04/26/2025,04/26/2025,1,J Balvin,704956,6950,6950,100%,Don Haskins Center,El Paso,United States,,,
04/26/2025,04/27/2025,2,J-HOPE,4610267,19684,19684,100%,Indoor Stadium,Singapore,Singapore,,,
04/26/2025,04/26/2025,1,Kendrick Lamar & SZA,11822196,49642,49642,100%,AT&T Stadium,Arlington,United States,,,
04/26/2025,04/26/2025,1,Kylie Minogue,709824,6182,6689,92.42%,Pacific Coliseum,Vancouver,Canada,,,
04/26/2025,04/27/2025,2,Lady Gaga,15516599,117174,118676,98.73%,Estadio GNP Seguros,Mexico City,Mexico,,,
04/26/2025,04/26/2025,1,Machine Head,99894,1965,2425,81.03%,House of Blues,Boston,United States,,,
04/26/2025,04/26/2025,1,Natiruts,419053,17812,19000,93.75%,Pedreira Paulo Leminski,Curitiba,Brazil,,,
04/26/2025,04/26/2025,1,Pixies,324068,6418,7348,87.34%,Lotto Arena,Antwerp,Belgium,,,
04/26/2025,04/27/2025,2,Rels B,1188625,23956,26816,89.33%,Movistar Arena,Buenos Aires,Argentina,,,
04/26/2025,04/26/2025,1,Rüfüs Du Sol,2866640,24836,24857,99.92%,Q2 Stadium,Austin,United States,,,
04/26/2025,04/26/2025,1,Sugababes,187299,3366,4000,84.15%,Palladium,Cologne,Germany,,,
04/26/2025,04/26/2025,1,The Lumineers,727361,10318,10318,100%,Olympiahalle,Munich,Germany,,,
